"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0282_15","DESC15","repa","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,98128,37754,17930,0.182720528289581,1
"DESC_0282_15","DESC15","repa","Vulpes vulpes","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Mole","Mole","Moles","Moles and shrews","Mammals",100,98128,37754,80198,0.817279471710419,1
"DESC_0282_15","DESC15","repb","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,98128,41582,17930,0.182720528289581,1
"DESC_0282_15","DESC15","repb","Vulpes vulpes","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Mole","Mole","Moles","Moles and shrews","Mammals",100,98128,41582,80198,0.817279471710419,1
"DESC_0282_15","DESC15","repc","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,98128,18792,17930,0.182720528289581,1
"DESC_0282_15","DESC15","repc","Vulpes vulpes","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Mole","Mole","Moles","Moles and shrews","Mammals",100,98128,18792,80198,0.817279471710419,1
"DESC_0282_16","DESC16","repa","Vulpes vulpes","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,2642,570,2642,1,1
"DESC_0282_16","DESC16","repb","Vulpes vulpes","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,2642,1014,2642,1,1
"DESC_0282_16","DESC16","repc","Vulpes vulpes","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,2642,1058,2642,1,1
"DESC_0282_18","DESC19","repa","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",100,3604,1778,3604,1,1
"DESC_0282_18","DESC19","repb","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",100,3604,1208,3604,1,1
"DESC_0282_18","DESC19","repc","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",100,3604,618,3604,1,1
"DESC_0282_21","DESC22","repa","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",100,222814,68846,8716,0.039117829220785,1
