"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0231_14b_repcJunco hyemalis","DESC102b","DESC_0231_14b","repc","Junco hyemalis","Vulpes vulpes","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",5628,100,"Chordata","DESC_0231_14b",57432,"repc",6546,"Junco hyemalis",53750,0.935889399637833
"DESC_0231_14b_repcPeromyscus maniculatus","DESC102b","DESC_0231_14b","repc","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",918,100,"Chordata","DESC_0231_14b",57432,"repc",6546,"Peromyscus maniculatus",3682,0.0641106003621674
"DESC_0282_1_repaCallospermophilus lateralis","DESC01","DESC_0282_1","repa","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",1246,100,"Chordata","DESC_0282_1",6302,"repa",2542,"Callospermophilus lateralis",2990,0.474452554744526
"DESC_0282_1_repaPeromyscus maniculatus","DESC01","DESC_0282_1","repa","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1296,100,"Chordata","DESC_0282_1",6302,"repa",2542,"Peromyscus maniculatus",3312,0.525547445255474
"DESC_0282_1_repbCallospermophilus lateralis","DESC01","DESC_0282_1","repb","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",1082,100,"Chordata","DESC_0282_1",6302,"repb",2322,"Callospermophilus lateralis",2990,0.474452554744526
"DESC_0282_1_repbPeromyscus maniculatus","DESC01","DESC_0282_1","repb","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1240,100,"Chordata","DESC_0282_1",6302,"repb",2322,"Peromyscus maniculatus",3312,0.525547445255474
"DESC_0282_1_repcCallospermophilus lateralis","DESC01","DESC_0282_1","repc","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",662,100,"Chordata","DESC_0282_1",6302,"repc",1438,"Callospermophilus lateralis",2990,0.474452554744526
"DESC_0282_1_repcPeromyscus maniculatus","DESC01","DESC_0282_1","repc","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",776,100,"Chordata","DESC_0282_1",6302,"repc",1438,"Peromyscus maniculatus",3312,0.525547445255474
"DESC_0282_12_repaLepus americanus","DESC12","DESC_0282_12","repa","Lepus americanus","Vulpes vulpes","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",25516,98.02,"Chordata","DESC_0282_12",130024,"repa",27460,"Lepus americanus",119180,0.916600012305421
"DESC_0282_12_repaPeromyscus maniculatus","DESC12","DESC_0282_12","repa","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1944,100,"Chordata","DESC_0282_12",130024,"repa",27460,"Peromyscus maniculatus",10844,0.0833999876945795
"DESC_0282_12_repbLepus americanus","DESC12","DESC_0282_12","repb","Lepus americanus","Vulpes vulpes","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",40762,98.02,"Chordata","DESC_0282_12",130024,"repb",44744,"Lepus americanus",119180,0.916600012305421
"DESC_0282_12_repbPeromyscus maniculatus","DESC12","DESC_0282_12","repb","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",3982,100,"Chordata","DESC_0282_12",130024,"repb",44744,"Peromyscus maniculatus",10844,0.0833999876945795
"DESC_0282_12_repcLepus americanus","DESC12","DESC_0282_12","repc","Lepus americanus","Vulpes vulpes","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",52902,98.02,"Chordata","DESC_0282_12",130024,"repc",57820,"Lepus americanus",119180,0.916600012305421
"DESC_0282_12_repcPeromyscus maniculatus","DESC12","DESC_0282_12","repc","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",4918,100,"Chordata","DESC_0282_12",130024,"repc",57820,"Peromyscus maniculatus",10844,0.0833999876945795
