"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0282_14_repbPhenacomys intermedius","DESC14","DESC_0282_14","repb","Phenacomys intermedius","Canis latrans","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Western heather vole","Vole","Cricetids","Rodents","Mammals",860,99.02,"Chordata","DESC_0282_14",11939,"repb",4323,"Phenacomys intermedius",2234,0.187117849066086
"DESC_0282_14_repbTamias sp","DESC14","DESC_0282_14","repb","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",3463,99.67,"Chordata","DESC_0282_14",11939,"repb",4323,"Tamias sp",8762,0.733897311332607
"DESC_0282_14_repcMarmota flaviventris","DESC14","DESC_0282_14","repc","Marmota flaviventris","Canis latrans","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",574,100,"Chordata","DESC_0282_14",11939,"repc",4421,"Marmota flaviventris",943,0.0789848396013066
"DESC_0282_14_repcPhenacomys intermedius","DESC14","DESC_0282_14","repc","Phenacomys intermedius","Canis latrans","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Western heather vole","Vole","Cricetids","Rodents","Mammals",694,99.02,"Chordata","DESC_0282_14",11939,"repc",4421,"Phenacomys intermedius",2234,0.187117849066086
"DESC_0282_14_repcTamias sp","DESC14","DESC_0282_14","repc","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",3153,99.67,"Chordata","DESC_0282_14",11939,"repc",4421,"Tamias sp",8762,0.733897311332607
"DESC_0282_24_repaAccipiter sp.","DESC25","DESC_0282_24","repa","Accipiter sp.","Canis latrans","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Accipiter","Accipiter","Accipiters","Raptors","Birds",26592,100,"Chordata","DESC_0282_24",531762,"repa",208836,"Accipiter sp.",80496,0.151375991515001
"DESC_0282_24_repaTamias sp","DESC25","DESC_0282_24","repa","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",182244,100,"Chordata","DESC_0282_24",531762,"repa",208836,"Tamias sp",451266,0.848624008484999
"DESC_0282_24_repbAccipiter sp.","DESC25","DESC_0282_24","repb","Accipiter sp.","Canis latrans","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Accipiter","Accipiter","Accipiters","Raptors","Birds",7132,100,"Chordata","DESC_0282_24",531762,"repb",67152,"Accipiter sp.",80496,0.151375991515001
"DESC_0282_24_repbTamias sp","DESC25","DESC_0282_24","repb","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",60020,100,"Chordata","DESC_0282_24",531762,"repb",67152,"Tamias sp",451266,0.848624008484999
"DESC_0282_24_repcAccipiter sp.","DESC25","DESC_0282_24","repc","Accipiter sp.","Canis latrans","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Accipiter","Accipiter","Accipiters","Raptors","Birds",46772,100,"Chordata","DESC_0282_24",531762,"repc",255774,"Accipiter sp.",80496,0.151375991515001
"DESC_0282_24_repcTamias sp","DESC25","DESC_0282_24","repc","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",209002,100,"Chordata","DESC_0282_24",531762,"repc",255774,"Tamias sp",451266,0.848624008484999
"DESC_0282_26_repaCallospermophilus lateralis","DESC27","DESC_0282_26","repa","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",3556,100,"Chordata","DESC_0282_26",21842,"repa",6686,"Callospermophilus lateralis",10982,0.50279278454354
"DESC_0282_26_repaTamias sp","DESC27","DESC_0282_26","repa","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",3130,99.505,"Chordata","DESC_0282_26",21842,"repa",6686,"Tamias sp",10860,0.49720721545646
