"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0282_46","DESC48","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,1645,606,1310,0.796352583586626,1
"DESC_0282_46","DESC48","repb","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,1645,606,335,0.203647416413374,1
"DESC_0282_46","DESC48","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,1645,569,1310,0.796352583586626,1
"DESC_0282_46","DESC48","repc","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,1645,569,335,0.203647416413374,1
"DESC_0282_5","DESC05","repa","Canis latrans","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.01,13482,3075,13482,1,1
"DESC_0282_5","DESC05","repb","Canis latrans","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.01,13482,5564,13482,1,1
"DESC_0282_5","DESC05","repc","Canis latrans","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.01,13482,4843,13482,1,1
"DESC_0282_8","DESC08","repa","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",100,434,156,434,1,1
"DESC_0282_8","DESC08","repb","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",100,434,142,434,1,1
"DESC_0282_8","DESC08","repc","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",100,434,136,434,1,1
"DESC_0637_15","DESC189","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,46512,19832,46512,1,1
